year,rank,title,artist,url,lyrics
1990,30,Two to Make It Right,Seduction,https://genius.com/Seduction-two-to-make-it-right-lyrics,"[Intro]
It takes two, it takes two, me and you
It takes two, it takes two, me and you
[Chorus]
It takes two to make a thing go right
It takes two to make it out of sight
It takes two to make a thing go right
It takes two to make it out of sight
[Verse 1]
From the start it's plain to see
You're suffering from a serious broken heart
You know that it's a shame
But I'm here to ease your pain
There's no need for you to feel so all alone
And you and I could seriously be
A sure enough happening thing
Don't you know that---
[Chorus]
It takes two to make a thing go right
It takes two to make it out of sight
It takes two to make a thing go right
It takes two to make it out of sight"
1990,31,Sending All My Love,Linear,https://genius.com/Linear-sending-all-my-love-lyrics,"[Intro]
Nothing really matters to me
When you're gone, when you're gone
Nothing really matters to me
When you're gone, when you're gone
[Verse 1]
Girl, I close my eyes
And then I start to cry for you
You're the reason why
I have to say goodbye to you
This pain I have inside
Just makes me want to die for you
All these lonely nights
They just don't seem so right for you
I'm sending you all my...
[Chorus]
Sending all my love
I'm sending all my love to you
I'm sending all my love
I'm sending all my love to you
[Verse 2]
Every move you make
Day by day, I pray for you
When I close my eyes
Teardrops start to fall for you"
1990,32,Unskinny Bop,Poison,https://genius.com/Poison-unskinny-bop-lyrics,"[Verse 1]
A-what's got you so jumpy?
Why can't you sit still, yeah?
Like gasoline, you wanna pump me
And leave me when you get your fill, yeah
[Pre-Chorus]
Every time I touch you, honey, you get hot
I wanna make love, you never stop
Come up for air, you pull me to the floor
What's been going on in that head of yours?
[Chorus]
Unskinny bop
Just blows me away, yeah
Unskinny bop, bop
All night and day, yeah
Unskinny bop, bop, bop, bop
She just loves to play, yeah
Unskinny bop, nothin' more to say
[Verse 2]
You look at me so funny
Love bite got you acting oh so strange
You got too many bees in your honey
Am I just another word in your page, yeah, yeah?"
1990,33,Step by Step,New Kids on the Block,https://genius.com/New-kids-on-the-block-step-by-step-lyrics,"[Intro]
Step by step, ooh baby
Gonna get to you, girl
Step by step, rah
[Chorus]
Step by step, ooh baby
Gonna get to you, girl
Step by step, ooh baby
Really want you in my world
[Verse 1]
(Step) Hey girl, in your eyes
I see a picture of me all the time
(Step) Hey girl, when you smile
You got to know that you drive me wild
[Pre-Chorus]
(Step by step) Ooh baby
You're always on my mind
(Step by step) Ooh girl
Really think it's just a matter of time
[Chorus]
Step by step, ooh baby
Gonna get to you girl
Step by step, ooh baby
Really want you in my world"
1990,34,Dangerous,Roxette,https://genius.com/Roxette-dangerous-lyrics,"[Intro: Marie Fredriksson]
(Ooh, just a little bit dangerous)
[Verse 1: Per Gessle]
You pack your bag, you take control
You're movin' into my heart and into my soul
Get out of my way
Get out of my sight
I won't be walking on thin ice to get through the night
[Pre-Chorus: Marie Fredriksson]
Hey, where's your work? What's your game?
I know your business, don't know your name
[Chorus: Marie Fredriksson & Per Gessle]
Hold on tight, you know she's a little bit dangerous
She's got what it takes to make ends meet
The eyes of a lover that hit like heat
You know she's a little bit dangerous
[Verse 2: Per Gessle]
You turn around, so hot and dry
You're hidin' under a halo, your mouth is alive
Get out of my way (Get out of my way)
Get out of my sight (Get out of my sight)
I'm not attracted to go-go deeper tonight"
1990,35,We Didn't Start the Fire,Billy Joel,https://genius.com/Billy-joel-we-didnt-start-the-fire-lyrics,"[Verse 1]
Harry Truman, 
Doris Day
Red China, 
Johnnie Ray
South Pacific
Walter Winchell, 
Joe DiMaggio
Joe McCarthy, 
Richard Nixon
Studebaker, 
Television
North Korea, South Korea
Marilyn Monroe
[Brief instrumental interlude]
Rosenbergs, 
H-Bomb
Sugar Ray, 
Panmunjom
Brando, 
The King And I
,
And 
The Catcher In The Rye
Eisenhower, 
Vaccine
England's got a new queen
Marciano, 
Liberace
Santayana goodbye
[Chorus]
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it"
1990,36,I Don't Have the Heart,James Ingram,https://genius.com/James-ingram-i-dont-have-the-heart-lyrics,"[Verse 1]
Your face is beaming
You say it's 'cause you're dreaming
Of how good it's going to be
You say you've been around
And now you've finally found
Everything you wanted and needed in me
[Chorus]
I don't have the heart
To hurt you
It's the last thing I wanna do
But I don't have the heart
To love you
Not the way you want me to
[Verse 2]
Inside I'm dying
To see you crying
How can I make you understand?
I care about you
So much about you, baby!
I'm trying to say this as gently as I can
[Chorus]
'Cause I don't have the heart
To hurt you
It's the last thing I wanna do
But I don't have the heart
To love you
Not the way you want me to"
1990,37,Downtown Train,Rod Stewart,https://genius.com/Rod-stewart-downtown-train-lyrics,"[Verse 1]
Outside another yellow moon
Has punched a hole in the night time mist
I climb through the window and down to the street
I'm shining like a new dime
The downtown trains are full
Full of all them Brooklyn girls
They try so hard to break out of their little worlds
[Verse 2]
You wave your hand and they scatter like crows
They have nothing that'll ever capture your heart
They're just thorns without the rose
Be careful of them in the dark
Oh if I was the one you chose to be your only one
Oh baby can't you hear me now, can't you hear me now
[Chorus]
Will I see you tonight on a downtown train
Every night, every night its just the same
On a downtown train
[Verse 3]
I know your window and I know its late
I know your stairs and your doorway
I walk down your street and past your gate
I stand by the light of the four way
And watch them as they fall, oh baby
They all having their heart attacks
They stay at the carnival
But they'll never win you back"
1990,38,Rhythm Nation,Janet Jackson,https://genius.com/Janet-jackson-rhythm-nation-lyrics,"[Intro]
Yeah yeah yeah yeah, yeah yeah yeah
Bass, bass, bass, bass
Nasty
Three
[Verse 1]
With music by our side to break 
the color lines
Let's work together to improve our way of life
Join voices in protest to social injustice
A generation full of courage, come forth with me
[Chorus]
People of the world today
Are we looking for a better way of life?
Sing!
We are a part of the rhythm nation
People of the world unite
Strength in numbers, we can get it right, one time
Sing it up!
We are a part of the rhythm nation
[Verse 2]
This is the test, no struggle, no progress
 (Lend)
Lend a hand to help your brother do his best
Things are getting worse, we have to make them better
It's time to give a damn, let's work together
Come on now"
1990,39,I'll Be Your Everything,Tommy Page,https://genius.com/Tommy-page-ill-be-your-everything-lyrics,"So long that I've waited for a girl
To come into my life and in my world
I can't explain my feelings for you
I guess you're just all my dreams come true
And I'll be your lover (your lover)
And I'll be your best friend (oh, I'll be your friend)
I'll be there when you're needing me (when you need me)
I'll be your everything, your everything
I'll be your everything (ooh)
I'll be all that you want and all that you need
I'll be your everything (ooh)
I'll give you all that I have, my love, my life and me
I'll be your everything
Now that we're together at last
We shouldn't think about our problems in the past
'Cause true love takes a miracle to find
I guess that I've been blessed 'cause I've got you by my side
And I'll be your lover (your lover)
And I'll be your best friend (oh, I'll be your friend)
I'll be there when you're needing me (when you need me)
I'll be your everything, your everything"
